OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
01004000,Ivy Tech State College - Region 1,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02263000,Eve's College of Hairstyling,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01291900,National Beauty College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00165400,City Colleges of Chicago - Kennedy King College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00811500,Cosme Techl Inst of Cosmetology Techlgy,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01055800,Debbie's School of Beauty Culture,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01278200,Debbies School of Beauty Culture,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02256600,Debbie's School of Beauty Culture,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02231200,Illinois Medical Training Center,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02067000,John Amicos School of Hair Design,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02166800,John Amico's School of Hair Design,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02307600,John Amico's School of Hair Design,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02216600,Moler Hairstyling College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00947600,Mr. Johns School of Cosmetology,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02099400,Tom Nolan Academy of Beauty Culture,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01150600,Indiana Barber/Stylist College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00961300,Merrillville Beauty College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02196400,Cutting Edge Hairstyling Academy,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02105400,Gene Blake School of Hairstyling,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02071800,Phillips College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02058000,Art of Beauty College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02234000,Cameron College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01081000,Commercial College of Baton Rouge,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01024500,Commercial College of Shreveport,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01006300,Delta Career College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01196300,Delta Junior College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01184100,John Jay Beauty College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02055600,Larry's Academy of Hairstyling,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02151200,Larry's Academy of Hairstyling,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00463100,Robinson Business College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02269300,Stevenson's Academy of Hair Design,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02204000,Eldorado Academy of Cosmetology,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02164800,BNT Academy,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02310000,Ron Thomas School of Cosmetology,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00465400,Strayer Business College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02214700,Almas Beauty College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02318300,American Career Academy,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02068900,Cambridge Business School,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00987800,Craigs College Of Beauty,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01292400,Debbie's School Of Beauty CultureE,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00470200,Detroit Business Institute,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00227100,Highland Park Community College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02088200,Jordan College,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
01047000,Kalamazoo Beauty Academy,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00755300,Michigan Career Institute,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
02098900,Payne - Pulliam School of Trade & Commerce,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00468200,Pontiac Business Institute,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
00973400,Virginia Farrell Beauty School,1989,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 35.0% or greater
