OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30,FFEL_CR,FDSLP_CR
010554,Concordia College,1804 Green Street,Selma,AL,Alabama,36701,3323,Bachelor,Priv,1996,0,1,50,*,FL,1995,0,1,50,*,FL,1994,2,2,40,*,FL,H,F,07,04,1,C,N
005698,Douglas MacArthur State Technical College,1708 North Main Street,Opp,AL,Alabama,36467,0000,Associate,Pub,1996,1,1,38.1,*,FL,1995,5,12,39.6,*,FL,1994,18,50,36,,FL,,F,02,04,1,C,N
005699,George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,Alabama,36702,1049,Associate,Pub,1996,0,0,33.3,*,FL,1995,1,3,18.2,*,FL,1994,0,0,22.2,*,FL,,F,07,04,1,C,N
023410,Capps College,3100 Cottage Hill Road,Mobile,AL,Alabama,36606,2990,1Yr N/D,Prop,1996,58,198,29.3,,FL,1995,47,168,28,,FL,1994,49,239,20.5,,FL,C,,01,04,1,T,N
001028,Miles College,5500 Myron Massey Boulevard,Fairfield,AL,Alabama,35064,2697,Bachelor,Priv,1996,113,449,25.2,,DU,1995,90,345,26.1,,FL,1994,73,292,25,,FL,H,B,07,04,1,C,C
001017,Gadsden State Community College,1001 George Wallace Drive,East Gadsden,AL,Alabama,35903,2269,Associate,Pub,1996,1,4,25,,FL,1995,1,10,10,,FL,1994,2,25,6.5,*,FL,,F,04,04,1,C,N
001005,Alabama State University,915 South Jackson Street,Montgomery,AL,Alabama,36101,0271,Master/Dr,Pub,1996,291,1211,24,,DU,1995,207,1219,17,,FL,1994,224,1021,21.9,,FL,H,B,02,04,1,C,C
030106,Virginia College of Birmingham,65 Bagby Drive,Birmingham,AL,Alabama,34209,3703,Bachelor,Prop,1996,68,285,23.9,,DU,1995,60,306,19.6,,FL,1994,45,234,19.2,,FL,,B,06,04,1,C,C
001059,Lawson State Community College,"3060 Wilson Road, Southwest",Birmingham,AL,Alabama,35221,1798,Associate,Pub,1996,0,0,23.5,*,FL,1995,3,15,20,*,FL,1994,1,2,28.1,*,FL,H,F,07,04,1,C,N
010193,Herzing College of Business and Technology,280 West Valley Avenue,Homewood,AL,Alabama,35209,4816,Bachelor,Prop,1996,39,166,23.5,,DU,1995,41,192,21.4,,FL,1994,38,210,18.1,,FL,,B,06,04,1,C,C
001021,Jefferson Davis Community College,220 Alco Drive,Brewton,AL,Alabama,36427,0958,Associate,Pub,1996,2,8,23.4,*,FL,1995,8,27,22.5,*,FL,1994,16,76,21.1,,FL,,F,01,04,1,C,N
001044,Stillman College,3600 Stillman Boulevard,Tuscaloosa,AL,Alabama,35403,2602,Bachelor,Priv,1996,68,306,22.2,,DU,1995,66,279,23.7,,FL,1994,48,267,18,,FL,H,B,07,04,1,C,C
001046,Talladega College,627 West Battle Street,Talladega,AL,Alabama,35160,2354,Bachelor,Priv,1996,68,314,21.7,,FL,1995,52,275,18.9,,FL,1994,57,282,20.2,,FL,H,B,03,04,1,C,C
026055,Education America - Southeast College of Technology,828 Downtowner Loop West,Mobile,AL,Alabama,36609,5593,Bachelor,Prop,1996,190,887,21.4,,DU,1995,175,784,22.3,,FL,1994,156,677,23,,FL,,B,01,04,1,C,C
001050,Tuskegee University,PO Box 88,Tuskegee,AL,Alabama,36087,0088,Master/Dr,Priv,1996,149,883,16.9,,DU,1995,130,843,15.4,,FL,1994,113,877,12.9,,FL,H,B,03,04,1,C,C
001002,Alabama Agricultural & Mechanical University,4900 Meridian Street NW,Normal,AL,Alabama,35762,1357,Master/Dr,Pub,1996,172,1031,16.7,,DU,1995,159,930,17.1,,FL,1994,111,681,16.3,,FL,H,B,05,04,1,C,C
004462,Gadsden Business College,750 Forrest Avenue,Gadsden,AL,Alabama,35901,3658,1Yr N/D,Prop,1996,4,28,15.6,*,FL,1995,19,77,24.7,,FL,1994,8,94,8.5,,FL,,B,04,04,1,C,C
001023,Judson College,302 Bibb Street,Marion,AL,Alabama,36756,2504,Bachelor,Priv,1996,13,85,15.3,,FL,1995,3,81,3.7,,FL,1994,4,55,7.3,,FL,,F,07,04,1,C,N
005697,Northwest - Shoals Community College,George Wallace Boulevard,Muscle Shoals,AL,Alabama,35662,2545,Associate,Pub,1996,49,367,13.4,,FL,1995,22,196,11.2,,FL,1994,19,172,11,,FL,,F,05,04,1,C,N
001024,University of West Alabama,205 North Washington,Livingston,AL,Alabama,35470,0000,Master/Dr,Pub,1996,69,553,12.5,,FL,1995,58,462,12.6,,FL,1994,41,343,12,,FL,,F,07,04,1,C,N
001026,Marion Military Institute,1101 Washington Street,Marion,AL,Alabama,36756,3213,Associate,Priv,1996,8,66,12.1,,FL,1995,9,49,18.4,,FL,1994,3,31,9.7,,FL,,F,07,04,1,C,N
001003,Faulkner University,5345 Atlanta Highway,Montgomery,AL,Alabama,36109,3398,1st Prof,Priv,1996,86,755,11.4,,FL,1995,87,630,13.8,,FL,1994,53,477,11.1,,FL,,F,02,04,1,C,N
001019,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,Alabama,36106,2148,Bachelor,Priv,1996,14,123,11.4,,FL,1995,7,123,5.7,,FL,1994,6,102,5.9,,FL,,F,02,04,1,C,N
001033,Oakwood College,Oakwood Road Northwest,Huntsville,AL,Alabama,35896,0001,Bachelor,Priv,1996,39,349,11.2,,FL,1995,40,404,9.9,,FL,1994,26,347,7.5,,FL,H,F,05,04,1,C,N
001022,Jefferson State Community College,2601 Carson Road,Birmingham,AL,Alabama,35215,3098,Associate,Pub,1996,41,369,11.1,,DU,1995,40,336,11.9,,FL,1994,41,325,12.6,,FL,,B,06,04,1,C,C
