OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC
02097700,American Business Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00751800,Apex Technical School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01197900,Blake Business School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02214600,Bnos Jerusalem Seminary,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00741700,Contemporary School of Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01191800,Drake School of the Bronx,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00855500,Hair Design Institute at Livingston Street,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00861100,"CUNY, Hostos Community College",1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02352300,Jesode Hatorah,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00779800,Wilfred Academy of Hair & Beauty  Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00957800,Jon Louis School of Beauty,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02498800,Mahanna Career Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
01184700,Midway Paris Beauty School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00780400,New York Food And Hotel Management School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00780500,Printing Trades School,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02491400,Spanish-American Institute,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00779100,Wilfred Academy of Hair & Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00780900,Wilfred Academy of Hair & Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
00894900,Wilfred Academy of Hair & Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
02105000,Wilfred Academy Of Hair & Beauty Culture,1991,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 30.0% or greater
