GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,FLAG_1,FLAG_2,CONG_DIST,REGION
023266,ALASKA COMPUTER INSTITUTE,,"701 E TUDOR RD, STE 101",ANCHORAGE,AK,99503,1 yr/Prop,93,        89,       338,  26.3,,92,        89,       375,  23.7,,91,       316,       790,  40.0,,,,00,10
025410,TRAVEL ACADEMY (THE),,1415 E TUDOR RD,ANCHORAGE,AK,99507,300 hr/Prop,93,         9,        52,  17.3,,92,         4,        40,  10.0,,91,         5,        58,   8.6,,,,00,10
001061,ALASKA PACIFIC UNIVERSITY,,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,5 yr/Priv,93,         7,        41,  17.1,,92,        13,        57,  22.8,,91,        10,        50,  20.0,,,,00,10
025769,CHARTER COLLEGE,,2221 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,600 hr/Prop,93,        43,       259,  16.6,,92,        35,       177,  19.8,,91,        23,       142,  16.2,,,,00,10
011462,"UNIVERSITY OF ALASKA, ANCHORAGE",,3211 PROVIDENCE DR,ANCHORAGE,AK,99508,5 yr/Pub,93,        53,       320,  16.6,,92,        39,       272,  14.3,,91,        20,       211,   9.5,,,,00,10
001063,"UNIVERSITY OF ALASKA, FAIRBANKS",,,FAIRBANKS,AK,99775,5 yr/Pub,93,        32,       299,  10.7,,92,        28,       241,  11.6,,91,        21,       268,   7.8,,,,00,10
001065,UNIVERSITY OF ALASKA SOUTHEAST,,11120 GLACIER HWY,JUNEAU,AK,99801,5 yr/Pub,93,         3,        30,  10.0,,92,         3,        25,   9.8,*,91,         0,        16,   8.3,*,,,00,10
001062,SHELDON JACKSON COLLEGE,,801 LINCOLN ST,SITKA,AK,99835,4 yr/Priv,93,         5,        64,   7.8,,92,         4,        60,   6.7,,91,         4,        48,   8.3,,,,00,10
025833,NEW CONCEPTS BEAUTY SCHOOL,,1019 COLLEGE RD,FAIRBANKS,AK,99701,600 hr/Prop,93,         0,         2,   0.0,*,92,         0,         3,   0.0,*,91,         0,         4,   0.0,*,,,00,10
022393,RICE COLLEGE,,2116 BESSEMER RD,BIRMINGHAM,AL,35208,1 yr/Prop,93,        25,        53,  47.2,,92,        29,        59,  49.2,,91,        43,        80,  53.8,,C,,00,04
005734,TRENHOLM STATE TECHNICAL COLLEGE,,1225 AIR BASE BLVD,MONTGOMERY,AL,36108,2 yr/Pub,93,         2,         2,  42.9,*,92,         0,         0,  18.8,*,91,         1,         5,  38.1,*,C,,00,04
005698,DOUGLAS MACARTHUR STATE TECHNICAL,COLLEGE,1708 N MAIN ST PO BOX 649,OPP,AL,36467,2 yr/Pub,93,        89,       221,  40.3,,92,        74,       229,  32.3,,91,        60,       166,  36.1,,C,,02,04
023195,CHARLES ACADEMY OF BEAUTY CULTURE,,2986 ESLAVA CREEK PKY,MOBILE,AL,36606,1 yr/Prop,93,         0,         0,  39.6,*,92,         4,        11,  42.3,*,91,        34,        85,  40.0,,C,,01,04
021804,NEW WORLD COLLEGE OF BEAUTY,,"1031 NOBLE ST, PO BOX 2287",ANNISTON,AL,36202,1 yr/Prop,93,        46,       124,  37.1,,92,        53,       137,  38.7,,91,        45,       124,  36.3,,,,03,04
001037,SELMA UNIVERSITY,,1501 LAPSLEY ST,SELMA,AL,36701,4 yr/Priv,93,        17,        52,  32.7,,92,        13,        41,  31.7,,91,         6,        21,  25.0,*,H,,07,04
023238,GAITHER AND COMPANY BEAUTY COLLEGE,,414 E WILLOW ST,SCOTTSBORO,AL,35768,1 yr/Prop,93,         2,         6,  31.5,*,92,         6,        22,  33.3,*,91,        15,        45,  33.3,,C,,00,04
011237,SOUTHERN VOCATIONAL COLLEGE,,225 S MAIN ST,TUSKEGEE,AL,36083,2 yr/Priv,93,         0,         7,  30.4,*,92,         7,        21,  38.5,*,91,        14,        41,  34.1,,C,,03,04
030106,VIRGINIA COLLEGE OF BIRMINGHAM,,"1900 - 28TH AVE, SOUTH",BIRMINGHAM,AL,35209,2 yr/Prop,93,        22,        76,  28.9,,92,         6,        35,  17.1,,91,       N/A,       N/A,   N/A,,,,00,04
023410,CAPPS COLLEGE,,"3100 COTTAGE HILL RD, STE 500",MOBILE,AL,36606,1 yr/Prop,93,        68,       242,  28.1,,92,        84,       236,  35.6,,91,        67,       233,  28.8,,,,01,04
022850,SCIENTIFIC BEAUTY ACADEMY,,3115-A DRAKE AVE,HUNTSVILLE,AL,35805,1 yr/Prop,93,         1,         2,  25.0,*,92,         0,         9,  23.3,*,91,         4,         9,  46.2,*,C,,05,04
008988,LURLEEN B WALLACE STATE JUNIOR,COLLEGE,,ANDALUSIA,AL,36420,2 yr/Pub,93,         0,         2,  25.0,*,92,         6,        18,  21.6,*,91,         7,        32,  21.9,,,,00,04
001046,TALLADEGA COLLEGE,,627 W BATTLE ST,TALLADEGA,AL,35160,4 yr/Priv,93,        43,       178,  24.2,,92,        47,       183,  25.7,,91,        26,       127,  20.5,,H,,00,04
001005,ALABAMA STATE UNIVERSITY,,915 S JACKSON ST,MONTGOMERY,AL,36101,5 yr/Pub,93,       253,      1058,  23.9,,92,       319,      1091,  29.2,,91,       184,       868,  21.2,,H,,07,04
021080,NEW WORLD COLLEGE,,"1031 NOBLE ST, PO BOX 2287",ANNISTON,AL,36201,1 yr/Prop,93,        10,        42,  23.8,,92,        48,       106,  45.3,,91,        87,       243,  35.8,,,,03,04
026055,SOUTHEAST COLLEGE OF TECHNOLOGY,,"828 DOWNTOWNER LOOP, W",MOBILE,AL,36609,2 yr/Prop,93,       155,       668,  23.2,,92,       207,       913,  22.7,,91,       123,       427,  28.8,,,,01,04
001028,MILES COLLEGE,,PO BOX 3800,BIRMINGHAM,AL,35208,4 yr/Priv,93,        54,       254,  21.3,,92,        52,       207,  25.1,,91,        47,       205,  22.9,,H,,00,04
010193,HERZING COLLEGE OF BUSINESS AND,TECHNOLOGY,280 W VALLEY AVENUE,BIRMINGHAM,AL,35209,1 yr/Prop,93,        52,       251,  20.7,,92,        61,       240,  25.4,,91,        67,       275,  24.4,,,,00,04
022055,MASTERS INSTITUTE OF COSMETOLOGY,,8215 STEPHANIE ST,HUNTSVILLE,AL,35802,1 yr/Prop,93,         3,        19,  18.7,*,92,         6,        25,  28.3,*,91,         5,        31,  16.1,,,,05,04
001002,ALABAMA AGRICULTURAL AND MECHANICAL,UNIVERSITY,"4900 MERIDIAN ST, NW",NORMAL,AL,35762,5 yr/Pub,93,       125,       763,  16.4,,92,        96,       601,  16.0,,91,       109,       665,  16.4,,H,,05,04
005697,NORTHWEST-SHOALS COMMUNITY COLLEGE,,"GEORGE WALLACE BLVD, POB 2545",MUSCLE SHOALS,AL,35662,2 yr/Pub,93,        23,       143,  16.1,,92,         4,        35,  11.4,,91,         5,        37,  13.5,,,,05,04
025719,SOUTH ALABAMA BEAUTY COLLEGE,,2861 S MCKENZIE ST,FOLEY,AL,36535,1 yr/Prop,93,         5,        16,  16.0,*,92,         3,        28,  11.1,*,91,         0,         6,  11.8,*,,,01,04
022704,SOUTHEASTERN BIBLE COLLEGE,,3001 HWY 280 E,BIRMINGHAM,AL,35243,4 yr/Priv,93,         8,        50,  16.0,,92,         4,        25,  12.5,*,91,         0,         5,   4.8,*,,,00,04
004463,DRAUGHON'S JUNIOR COLLEGE,,122 COMMERCE ST,MONTGOMERY,AL,36104,2 yr/Prop,93,        30,       194,  15.5,,92,        55,       236,  23.3,,91,        58,       210,  27.6,,,,00,04
004462,GADSDEN BUSINESS COLLEGE,,750 FORREST AVE,GADSDEN,AL,35901,1 yr/Prop,93,        19,       123,  15.4,,92,        16,       158,  10.1,,91,        28,       135,  20.7,,,,04,04
001050,TUSKEGEE UNIVERSITY,,,TUSKEGEE,AL,36088,5 yr/Priv,93,       132,       911,  14.5,,92,       164,       989,  16.6,,91,       171,       962,  17.8,,H,,03,04
001022,JEFFERSON STATE COMMUNITY COLLEGE,,2601 CARSON RD,BIRMINGHAM,AL,35215,2 yr/Pub,93,        39,       270,  14.4,,92,        23,       149,  15.4,,91,        17,       137,  12.4,,,,00,04
001044,STILLMAN COLLEGE,,PO DRAWER 1430,TUSCALOOSA,AL,35403,4 yr/Priv,93,        35,       263,  13.3,,92,        45,       219,  20.5,,91,        65,       268,  24.3,,H,,00,04
