GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
023266,ALASKA COMPUTER INSTITUTE,,"701 E TUDOR RD, STE 101",ANCHORAGE,AK,99503,1 yr/Prop,94,        68,       278,  24.5,,93,        89,       338,  26.3,,92,        89,       375,  23.7,,,,F,AL,10
025410,CAREER ACADEMY,,1415 EAST TUDOR ROAD,ANCHORAGE,AK,99507,300 hr/Prop,94,        13,        66,  19.7,,93,         9,        52,  17.3,,92,         4,        40,  10.0,,,,F,,10
025833,NEW CONCEPTS BEAUTY SCHOOL,,1019 COLLEGE RD,FAIRBANKS,AK,99701,600 hr/Prop,94,         2,         6,  18.2,*,93,         0,         2,   0.0,*,92,         0,         3,   0.0,*,,,F,AL,10
001061,ALASKA PACIFIC UNIVERSITY,,4101 UNIVERSITY DR,ANCHORAGE,AK,99508,5 yr/Priv,94,        10,        58,  17.2,,93,         7,        41,  17.1,,92,        13,        57,  22.8,,,,F,AL,10
025769,CHARTER COLLEGE,,2221 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,600 hr/Prop,94,        48,       284,  16.9,,93,        43,       259,  16.6,,92,        35,       177,  19.8,,,,B,AL,10
011462,"UNIVERSITY OF ALASKA, ANCHORAGE",,3211 PROVIDENCE DR,ANCHORAGE,AK,99508,5 yr/Pub,94,        70,       518,  13.5,,93,        53,       320,  16.6,,92,        39,       272,  14.3,,,,F,00,10
001063,"UNIVERSITY OF ALASKA, FAIRBANKS",,,FAIRBANKS,AK,99775,5 yr/Pub,94,        34,       314,  10.8,,93,        32,       299,  10.7,,92,        28,       241,  11.6,,,,F,00,10
001062,SHELDON JACKSON COLLEGE,,801 LINCOLN ST,SITKA,AK,99835,4 yr/Priv,94,         6,        83,   7.2,,93,         5,        64,   7.8,,92,         4,        60,   6.7,,,,F,AL,10
001065,UNIVERSITY OF ALASKA SOUTHEAST,,11120 GLACIER HWY,JUNEAU,AK,99801,5 yr/Pub,94,         2,        37,   5.4,,93,         3,        30,  10.0,,92,         3,        25,   9.8,*,,,F,AL,10
005734,TRENHOLM STATE TECHNICAL COLLEGE,,1225 AIR BASE BLVD,MONTGOMERY,AL,36108,2 yr/Pub,94,         0,         0, 100.0,*,93,         2,         2,  42.9,*,92,         0,         0,  18.8,*,C,H,,00,04
005693,JOHN M PATTERSON STATE TECHNICAL CO,LLEGE,3920 TROY HWY,MONTGOMERY,AL,36116,2 yr/Pub,94,         0,         0,  50.0,*,93,         1,         1,  33.3,*,92,         0,         1,   0.0,*,C,,,02,04
010554,CONCORDIA COLLEGE,,1804 GREEN STREET,SELMA,AL,36701,4 yr/Priv,94,         2,         2,  40.0,*,93,         1,         3,  38.1,*,92,         1,         5,  60.4,*,C,H,,07,04
023195,CHARLES ACADEMY OF BEAUTY CULTURE,,2986 ESLAVA CREEK PKY,MOBILE,AL,36606,1 yr/Prop,94,         0,         0,  36.4,*,93,         0,         0,  39.6,*,92,         4,        11,  42.3,*,C,,,01,04
005698,DOUGLAS MACARTHUR STATE TECHNICAL C,OLLEGE,1708 N MAIN ST PO BOX 649,OPP,AL,36467,2 yr/Pub,94,        18,        50,  36.0,,93,        89,       221,  40.3,,92,        74,       229,  32.3,,C,,,02,04
026210,JOYCE DUNCAN'S ACADEMY OF COSMETOLO,GY,2115 JONATHAN DR,HUNTSVILLE,AL,35810,1 yr/Prop,94,         1,         1,  28.6,*,93,         0,         3,   0.0,,92,         1,         3,  33.3,,C,,,05,04
023238,GAITHER AND COMPANY BEAUTY COLLEGE,,414 E WILLOW ST,SCOTTSBORO,AL,35768,1 yr/Prop,94,         0,         0,  28.6,*,93,         2,         6,  31.5,*,92,         6,        22,  33.3,*,C,,,05,04
008988,LURLEEN B WALLACE STATE JUNIOR COLL,EGE,**,ANDALUSIA,AL,36420,2 yr/Pub,94,         0,         1,  28.6,*,93,         0,         2,  25.0,*,92,         6,        18,  21.6,*,,,F,00,04
001059,LAWSON STATE COMMUNITY COLLEGE,,3060 WILSON RD,BIRMINGHAM,AL,35221,2 yr/Pub,94,         1,         2,  28.1,*,93,         2,         9,  40.0,*,92,         6,        21,  49.0,*,C,H,,07,04
001028,MILES COLLEGE,,PO BOX 3800,BIRMINGHAM,AL,35208,4 yr/Priv,94,        73,       292,  25.0,,93,        54,       254,  21.3,,92,        52,       207,  25.1,,H,,B,06,04
030106,VIRGINIA COLLEGE OF BIRMINGHAM,,"1900 - 28TH AVE, SOUTH",BIRMINGHAM,AL,35209,2 yr/Prop,94,        60,       248,  24.2,,93,        21,        75,  28.0,,92,         6,        35,  17.1,,,,B,06,04
011237,SOUTHERN VOCATIONAL COLLEGE,,225 S MAIN ST,TUSKEGEE,AL,36083,2 yr/Priv,94,         0,         2,  23.3,*,93,         0,         7,  30.4,*,92,         7,        21,  38.5,*,C,,,03,04
026055,SOUTHEAST COLLEGE OF TECHNOLOGY,,"828 DOWNTOWNER LOOP, W",MOBILE,AL,36609,2 yr/Prop,94,       156,       673,  23.2,,93,       155,       668,  23.2,,92,       207,       913,  22.7,,,,B,01,04
022055,MASTERS INSTITUTE OF COSMETOLOGY,,8215 STEPHANIE ST,HUNTSVILLE,AL,35802,1 yr/Prop,94,         1,         1,  22.2,*,93,         3,        19,  18.7,*,92,         6,        25,  28.3,*,C,,,05,04
005699,GEORGE CORLEY WALLACE STATE COMMUNI,TY COLLEGE AT SELMA,PO DRAWER 1049,SELMA,AL,36702,2 yr/Pub,94,         0,         0,  22.2,*,93,         3,        19,  26.0,*,92,         7,        26,  28.3,*,C,,,07,04
001005,ALABAMA STATE UNIVERSITY,,915 S JACKSON ST,MONTGOMERY,AL,36101,5 yr/Pub,94,       224,      1021,  21.9,,93,       253,      1058,  23.9,,92,       319,      1091,  29.2,,H,,B,02,04
001021,JEFFERSON DAVIS STATE JUNIOR COLLEG,E,PO DRAWER N,BREWTON,AL,36426,2 yr/Pub,94,        16,        76,  21.1,,93,        15,        70,  21.4,,92,        17,       107,  15.9,,C,,,00,04
023410,CAPPS COLLEGE,,"3100 COTTAGE HILL RD, STE 500",MOBILE,AL,36606,1 yr/Prop,94,        49,       239,  20.5,,93,        68,       243,  28.0,,92,        78,       228,  34.2,,C,,,01,04
001046,TALLADEGA COLLEGE,,627 W BATTLE ST,TALLADEGA,AL,35160,4 yr/Priv,94,        57,       282,  20.2,,93,        43,       178,  24.2,,92,        47,       183,  25.7,,H,,B,03,04
025719,SOUTH ALABAMA BEAUTY COLLEGE,,2861 S MCKENZIE ST,FOLEY,AL,36535,1 yr/Prop,94,         2,        11,  18.2,*,93,         5,        16,  16.0,*,92,         3,        28,  11.1,*,,,F,01,04
010193,HERZING COLLEGE OF BUSINESS AND TEC,HNOLOGY,280 W VALLEY AVENUE,BIRMINGHAM,AL,35209,1 yr/Prop,94,        38,       210,  18.1,,93,        52,       251,  20.7,,92,        61,       241,  25.3,,,,B,06,04
001044,STILLMAN COLLEGE,,3600 STILLMAN BOULEVARD,TUSCALOOSA,AL,35403,4 yr/Priv,94,        48,       267,  18.0,,93,        35,       263,  13.3,,92,        45,       219,  20.5,,H,,B,06,04
005691,SHELTON STATE COMMUNITY COLLEGE,,202 SKYLAND BLVD,TUSCALOOSA,AL,35405,2 yr/Pub,94,         5,        27,  16.5,*,93,         8,        54,  14.8,,92,         3,        16,  15.0,*,C,,,06,04
001030,BISHOP STATE COMMUNITY COLLEGE,,351 N BROAD ST,MOBILE,AL,36603,2 yr/Pub,94,        23,       140,  16.4,,93,        46,       217,  21.2,,92,        14,        76,  18.4,,C,H,,01,04
001002,ALABAMA AGRICULTURAL AND MECHANICAL, UNIVERSITY,"4900 MERIDIAN ST, NW",NORMAL,AL,35762,5 yr/Pub,94,       111,       681,  16.3,,93,       125,       763,  16.4,,92,        96,       601,  16.0,,H,,B,05,04
005733,BEVILL STATE COMMUNITY COLLEGE,,"HWY 78 W, STATE ST, BOX 800",SUMITON,AL,35148,2 yr/Pub,94,        13,        86,  15.1,,93,        13,        97,  13.4,,92,         7,        77,   9.1,,C,,,00,04
022704,SOUTHEASTERN BIBLE COLLEGE,,3001 HWY 280 E,BIRMINGHAM,AL,35243,4 yr/Priv,94,        10,        73,  13.7,,93,         8,        50,  16.0,,92,         4,        25,  12.5,*,,,F,06,04
004463,DRAUGHON'S JUNIOR COLLEGE,,122 COMMERCE ST,MONTGOMERY,AL,36104,2 yr/Prop,94,        31,       232,  13.4,,93,        30,       194,  15.5,,92,        55,       236,  23.3,,,,B,00,04
001013,JOHN C CALHOUN STATE COMMUNITY COLL,EGE,PO BOX 2216,DECATUR,AL,35609,2 yr/Pub,94,         5,        38,  13.2,,93,         2,        71,   2.8,,92,        14,        86,  16.3,,C,,D,09,04
001050,TUSKEGEE UNIVERSITY,,PO BOX 88,TUSKEGEE,AL,36087,5 yr/Priv,94,       113,       877,  12.9,,93,       132,       911,  14.5,,92,       164,       989,  16.6,,H,,B,03,04
001022,JEFFERSON STATE COMMUNITY COLLEGE,,2601 CARSON RD,BIRMINGHAM,AL,35215,2 yr/Pub,94,        41,       325,  12.6,,93,        39,       270,  14.4,,92,        23,       149,  15.4,,,,B,06,04
001018,GEORGE CORLEY WALLACE STATE COMMUNI,TY COLLEGE AT DOTHAN,"ROUTE 6, BOX 62",DOTHAN,AL,36303,2 yr/Pub,94,         0,         3,  12.2,*,93,         0,        11,  11.1,*,92,         6,        35,  17.1,,C,,,02,04
001024,LIVINGSTON UNIVERSITY,,205 N WASHINGTON,LIVINGSTON,AL,35470,5 yr/Pub,94,        41,       343,  12.0,,93,        37,       349,  10.6,,92,        28,       291,   9.6,,,,F,07,04
