GSL_ID,NAME,SUB_NAME,ADDR,CITY,STATE,ZIP,TYPE_CNTRL,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,FLAG_1,FLAG_2,PRGMS,CONG_DIST,REGION
023266,ALASKA COMPUTER INSTITUTE,,701 E TUDOR ROAD,ANCHORAGE,AK,99503,1 yr/Prop,95,        35,       126,27.8,,FL,94,        68,       278,24.5,,FL,93,        89,       338,26.3,,FL,,,F,AL,10
025833,NEW CONCEPTS BEAUTY SCHOOL,,"3677 COLLEGE ROAD, UNIT IV",FAIRBANKS,AK,99709,1 yr/Prop,95,         2,         7,26.7,*,FL,94,         2,         6,18.2,*,FL,93,         0,         2,0,*,FL,,,B,AL,10
025769,CHARTER COLLEGE,,2221 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,2 yr/Prop,95,        33,       187,17.6,,FL,94,        48,       284,16.9,,FL,93,        43,       259,16.6,,FL,,,B,AL,10
011462,UNIVERSITY OF ALASKA - ANCHORAGE,,3211 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,5 yr/Pub,95,        63,       534,11.8,,FL,94,        70,       518,13.5,,FL,93,        53,       320,16.6,,FL,,,F,00,10
001061,ALASKA PACIFIC UNIVERSITY,,4101 UNIVERSITY DRIVE,ANCHORAGE,AK,99508,5 yr/Priv,95,         6,        54,11.1,,FL,94,        10,        58,17.2,,FL,93,         7,        41,17.1,,FL,,,F,AL,10
001063,UNIVERSITY OF ALASKA AT FAIRBANKS,,,FAIRBANKS,AK,99775,5 yr/Pub,95,        41,       405,10.1,,FL,94,        34,       314,10.8,,FL,93,        32,       299,10.7,,FL,,,F,00,10
001062,SHELDON JACKSON COLLEGE,,801 LINCOLN STREET,SITKA,AK,99835,4 yr/Priv,95,         5,        73,6.8,,FL,94,         6,        83,7.2,,FL,93,         5,        64,7.8,,FL,,,F,AL,10
001065,UNIVERSITY OF ALASKA AT SOUTHEAST,,11120 GLACIER HIGHWAY,JUNEAU,AK,99801,5 yr/Pub,95,         2,        37,5.4,,FL,94,         2,        37,5.4,,FL,93,         3,        30,10,,FL,,,F,AL,10
025410,CAREER ACADEMY,,1415 EAST TUDOR DRIVE,ANCHORAGE,AK,99507,600 hr/Prop,95,         1,        45,2.2,,FL,94,        13,        66,19.7,,FL,93,         9,        52,17.3,,FL,,,F,,10
005734,TRENHOLM STATE TECHNICAL COLLEGE,,1225 AIR BASE BOULEVARD,MONTGOMERY,AL,36108,2 yr/Pub,95,         0,         1,66.7,*,FL,94,         0,         0,100,*,FL,93,         2,         2,42.9,*,FL,H,,F,00,04
010554,CONCORDIA COLLEGE,,1804 GREEN STREET,SELMA,AL,36701,4 yr/Priv,95,         0,         1,50,*,FL,94,         2,         2,40,*,FL,93,         1,         3,38.1,*,FL,H,,F,07,04
005693,JOHN M PATTERSON STATE TECHNICALCOL,LEGE,3920 TROY HIGHWAY,MONTGOMERY,AL,36116,2 yr/Pub,95,         0,         1,50,*,FL,94,         0,         0,50,*,FL,93,         1,         1,33.3,*,FL,,,F,02,04
005698,DOUGLAS MACARTHUR STATE TECHNICAL C,OLLEGE,1708 N MAIN STREET,OPP,AL,36467,2 yr/Pub,95,         5,        12,39.6,*,FL,94,        18,        50,36,,FL,93,        89,       221,40.3,,FL,C,,,02,04
023238,GAITHER & COMPANY BEAUTY COLLEGE,,414 EAST WILLOW STREET,SCOTTSBORO,AL,35768,1 yr/Prop,95,         0,         0,33.3,*,FL,94,         0,         0,28.6,*,FL,93,         2,         6,31.5,*,FL,C,,,05,04
023410,CAPPS COLLEGE,,3100 COTTAGE HILL ROAD,MOBILE,AL,36606,1 yr/Prop,95,        47,       168,28,,FL,94,        49,       239,20.5,,FL,93,        68,       243,28,,FL,C,,,01,04
001059,LAWSON STATE COMMUNITY COLLEGE,,"3060 WILSON ROAD, SOUTHWEST",BIRMINGHAM,AL,35221,2 yr/Pub,95,         1,         4,26.7,*,FL,94,         1,         2,28.1,*,FL,93,         2,         9,40,*,FL,H,,F,07,04
001028,MILES COLLEGE,,5500 MYRON MASSEY BOULEVARD,FAIRFIELD,AL,35064,4 yr/Priv,95,        90,       345,26.1,,FL,94,        73,       292,25,,FL,93,        54,       254,21.3,,FL,H,,B,06,04
001034,ALABAMA SOUTHERN COMMUNITY COLLEGE,,PO BOX 2000,MONROEVILLE,AL,36461,2 yr/Pub,95,         1,         4,25,*,FL,94,         1,         7,14.3,,FL,93,         6,        18,33.3,,FL,,,F,01,04
