OPE_ID,SCH_NM,YEAR,SANC_DESC,REAS_DESC,Appeal Type,Appeal Status,Prior loss,loss date
528200,Tennessee Technology Center at Hartsville,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
535700,Tennessee Technology Center Crump,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
549100,KY Tech - Paducah Area Technology Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
576300,Central Georgia Technical College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
752200,Continental School of Beauty Culture,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
752500,Suwannee-Hamilton  Technical Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
943300,Sherman Kendall's Academy of Beauty Arts & Sciences,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
945500,Coiffure School of Cosmetology Arts & Sciences,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
953700,Virginia School of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
957800,Jon Louis School of Beauty,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
973200,Virginia  Farrell Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
973400,Virginia  Farrell Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
973600,Virginia  Farrell Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1006200,Metropolitan Community College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1021000,Prospect Hall School of Business,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1094500,Nationwide Beauty Academy,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1150600,Indiana  Barber/Stylist  College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1164600,Virginia  Farrell Beauty School,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1172500,Collins School of Cosmetology,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1240400,Lexington Beauty College,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
1255500,M.J. Murphy Beauty College of Saginaw,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
2066100,Ohio State College of Barber Styling,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
2117900,Ross Technical  Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
2166800,John Amico's School of Hair Design,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
2168100,Tri County Career Center,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
2223900,Drake College of Business,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
2253200,Superior Career Institute,1995,"Immediate loss of GSL, FFEL, and FDSLP",Three CDRs equal to 25.0% or greater,Erroneous Data,Lose,1,1/13/1998
