opeid,name,state,cohort year,prior loss,date
227100,Hi hland Park Community  Colle e,Ml,1990,0,8/7/1992
494000,Millerhawkins Business College,TN,1990,0,8/7/1992
714900,Newberry  Schools of Beauty,CA,1990,0,8/7/1992
965900,Kenmar Beauty Academy,OH,1990,0,8/7/1992
971700,Vogue Academy of Beauty Culture,IL,1990,0,8/7/1992
1024500,Commercial College of Shreveport,LA,1990,0,8/7/1992
1199100,Belzer Yeshiva,NY,1990,0,8/7/1992
1242600,John's Beauty Colleqe,TX,1990,0,8/7/1992
1248100,Dolphin Technical Institutes,TX,1990,0,8/7/1992
2055800,Michigan  College of Beauty,Ml,1990,0,8/7/1992
2071600,Madame  Daniel's School of Beauty Culture,VA,1990,0,8/7/1992
2154500,Larry's Academy of Hairstylin,LA,1990,0,8/7/1992
2154700,Miami Technical Institute,FL,1990,0,8/7/1992
2185300,North Main Beauty Academy,IN,1990,0,8/7/1992
2205000,Mr David's School of Hair Design,NC,1990,0,8/7/1992
2265200,Global Business  Institute,NY,1990,0,8/7/1992
2276300,Reese's School of Hair Desiqn,TX,1990,0,8/7/1992
2284200,New Tyler Barber Colle e,AR,1990,0,8/7/1992
2303100,Sarasota Beauty School,FL,1990,0,8/7/1992
2316500,Universal Beauty Colleqe,LA,1990,0,8/7/1992
2331000,Maryland Beauty Academy of Essex,MD,1990,0,8/7/1992
2346700,Rhones Beauty Colle e,AL,1990,0,8/7/1992
2349500,Cannella School of Hair Design,IL,1990,0,8/7/1992
2357200,Banking lnst,CA,1990,0,8/7/1992
2360000,Chicago Truck Driving School,IL,1990,0,8/7/1992
2556300,American Technical  Institute,OK,1990,0,8/7/1992
2579400,Draughons College of Nursing  Assistance,TX,1990,0,8/7/1992
2585400,Professional  Career Ctr,LA,1990,0,8/7/1992
2585700,International  Career Institute,AL,1990,0,8/7/1992
2593400,Southwest Colege,CA,1990,0,8/7/1992
2593500,Southwest College,CA,1990,0,8/7/1992
2597700,International  Career lnst,FL,1990,0,8/7/1992
3009400,SW School of Business & Technical  Careers,TX,1990,0,8/7/1992
3017900,PBS Training Center,Ml,1990,0,8/7/1992
3021500,SW School of Business & Technical  Careers,TX,1990,0,8/7/1992
125900,Palo Verde Colle e,CA,1990,0,8/31/1992
1006200,Metropolitan Community  College,IL,1990,0,8/31/1992
1224900,Texas Beauty College,TX,1990,0,8/31/1992
1244600,Universal Colleqe of Beauty,CA,1990,0,8/31/1992
1300300,Neilson  Beauty College,TX,1990,0,8/31/1992
2154100,Romar Beauty Academy,FL,1990,0,8/31/1992
2190200,Vogue Beauty College #12,TX,1990,0,8/31/1992
2286700,Mr. Arnold's Excellence  Beauty School,FL,1990,0,8/31/1992
2332500,National Business  Academy,CA,1990,0,8/31/1992
1054400,Pro Schools,WI,1990,0,2/1/1993
2292000,Diesel Truck Driver Train School,WI,1990,0,5/1/1993
2499700,Career Development Institute,AL,1990,0,1/14/1993
2581300,Career Development Institute,AL,1990,0,1/14/1993
2499800,Career Development Institute,AL,1990,0,1/20/1993
767100,Pro Schools,WI,1990,0,1/28/1993
767600,Pro Schools,WI,1990,0,1/28/1993
767700,Pro Schools,WI,1990,0,1/28/1993
3011100,Romar Beauty School of North Lauderdale,FL,1990,0,1/28/1993
767000,Pro Schools,WI,1990,0,1/29/1993
1237300,IBA College of Cosmetology,IL,1990,0,1/29/1993
1197100,Trend Beauty College,IL,1990,0,1/30/1993
1291600,Hair Desin School (The),KY,1990,0,1/31/1993
