CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1/1/86,168300,GEORGE WILLIAMS COLLEGE,GEORGE WILLIAMS COLLEGE,555 31ST ST,DOWNERS GROVE,IL,60517,
1/1/86,377506,EASTERN WASHINGTON UNIVERSITY,EASTERN WASHINGTON UNIVERSITY - SPOKANE (1),705 WEST 1ST,SPOKANE,WA,99201-3900,
1/1/86,664000,COLUMBIA HOSPITAL SCHOOL OF NURSING,COLUMBIA HOSPITAL SCHOOL OF NURSING,2121 EAST NEWPORT AVENUE,MILWAUKEE,WI,53211,
1/1/86,2135800,OVERLOOK HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY,OVERLOOK HOSPITAL SCHOOL OF RADIATION THERAPY TECHNOLOGY,193 MORRIS AVE,SUMMIT,NJ,7901,
1/1/86,2271200,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING,400 HOBART STREET,CADILLAC,MI,49601,
1/1/88,636500,MERCY SCHOOL OF NURSING OF DETROITOIT,MERCY SCHOOL OF NURSING OF DETROITOIT,660 CLINTON STREET,DETROIT,MI,48226,
1/1/88,646900,ST MARYS HOSPITAL SCHOOL OF NURSING,ST MARYS HOSPITAL SCHOOL OF NURSING,380 GUY PARK AVE,AMSTERDAM,NY,12010,
1/1/88,2147200,BORGESS MEDICAL CENTER SCHOOL OF MEDICAL TECHNOLOGY,BORGESS MEDICAL CENTER SCHOOL OF MEDICAL TECHNOLOGY,1521 GULL ROAD,KALAMAZOO,MI,49001,
1/1/88,2170800,WEST FLORIDA MEDICAL CENTER SCHOOL RADIOLOGIC TECHLGY,WEST FLORIDA MEDICAL CENTER SCHOOL RADIOLOGIC TECHLGY,8383 NORTH DAVIS HIGHWAY,PENSACOLA,FL,32504,
1/1/88,2258200,UNION SETTLEMENT ASSOCIATION TRAINING SCHOOL (CLOSED),UNION SETTLEMENT ASSOCIATION TRAINING SCHOOL (CLOSED),174 E 104TH STREET,NEW YORK,NY,10029,
1/1/88,3004600,ALLURE CAREER COLLEGE OF BEAUTY EAST,ALLURE CAREER COLLEGE OF BEAUTY EAST,8822 EAST BROADWAY,TUCSON,AZ,85710,
1/1/89,2158101,GOLDEN STATE SCHOOL,BRANCH,890 POMEROY AVE,SANTA CLARA,CA,95051,
1/1/90,725301,FEDERICO BEAUTY INSTITUTE,FEDERICO COLLEGES OF HAIRSTYLING,3725 LAKE TAHOE BLVD BOX 201,SOUTH LAKE TAHOE,CA,95705,
1/1/90,743400,COMPUTER SYSTEMS INSTITUTE,COMPUTER SYSTEMS INSTITUTE,900 PENN AVENUE,PITTSBURGH,PA,15222,
1/1/90,743401,COMPUTER SYSTEMS INSTITUTE,COMPUTER SYSTEMS INSTITUTE,996 SOUTH MAIN STREET,MEADVILLE,PA,16335,
1/1/90,1151500,CENTRAL MESABI MEDICAL CENTER,CENTRAL MESABI MEDICAL CENTER,750 EAST 34TH STREET,HIBBING,MN,55746,
1/1/90,2295202,UNITED SCHOOLS,TRAINING SITE,HURRICAN CREEK INDUSTRIAL SITE,BAUXITE,AR,72011,
1/1/90,2295204,UNITED SCHOOLS,TRAINING SITE,TAMPA EXPO PK 4800 US 301 N,TAMPA,FL,33610,
1/1/90,2295206,UNITED SCHOOLS,TRAINING SITE,16374 RUNWAY DR,BROOKSVILLE,FL,34609,
1/1/90,2582901,KAPLAN CAREER INSTITUTE,TOTAL TECHNICAL INSTITUTE,9220 SKILLMEN STREET,DALLAS,TX,75243,
1/1/91,722500,DELOUX SCHOOL OF COSMETOLOGY,DELOUX SCHOOL OF COSMETOLOGY,8300 PARADISE VLY ROAD,SPRING VALLEY,CA,92077,
1/1/91,1088500,DELOUX SCHOOLS OF COSMETOLOGY/VISTA,DELOUX SCHOOLS OF COSMETOLOGY/VISTA,115 EAST VISTA WAY,VISTA,CA,92083,
1/1/91,1228600,DELOUX SCHOOLS OF COSMETOLOGY,DELOUX SCHOOLS OF COSMETOLOGY,9969 MIRA MESA BOULEVARD,SAN DIEGO,CA,92131,
1/1/91,1233900,DELOUX SCHOOLS OF COSMETOLOGY,DELOUX SCHOOLS OF COSMETOLOGY,3160 SANTA RITA ROAD SUITE B-3,PLEASANTON,CA,94566,
1/1/91,1233901,DELOUX SCHOOLS OF COSMETOLOGY,BRANCH CAMPUS,211 E 3RD AVE,SAN MATEO,CA,94401,
1/1/91,1294100,DELOUX SCHOOL OF COSMETOLOGY SUNNYMEAD,DELOUX SCHOOL OF COSMETOLOGY SUNNYMEAD,24741 ALLESSANDRO BOULEVARD,SUNNYMEAD,CA,92388,
1/1/91,1298600,DELOUX SCHOOL OF COSMETOLOGY HEMET,DELOUX SCHOOL OF COSMETOLOGY HEMET,2627 WEST FLORIDA,HEMET,CA,92343,
1/1/91,1298601,DELOUX SCHOOL OF COSMETOLOGY HEMET,BRANCH CAMPUS,72261 STATE HWY 111,PALM DESERT,CA,92343,
1/1/91,2177000,BROOKS SCHOOL OF BARBERING AND HAIRSTYLING,BROOKS SCHOOL OF BARBERING AND HAIRSTYLING,262 UNIVERSITY AVENUE,ST PAUL,MN,55103,
1/1/92,1204713,MTA SCHOOL RESIDENT SCHOOL,MTA SCHOOL RESIDENT SCHOOL,2077 PIKE AVENUE,SAN LEANDRO,CA,94577-0000,
1/1/92,2497000,AMERICAN COLLEGE OF ELECTROLOGY,AMERICAN COLLEGE OF ELECTROLOGY,2285 WILLOW PASS ROAD,CONCORD,CA,94520,
1/1/93,620100,ORANGE COUNTY VOCATIONAL SCHOOL OF PRACTICAL NURSING,ORANGE COUNTY VOCATIONAL SCHOOL OF PRACTICAL NURSING,325 NORTH PAMETTO AVENUE,ORLANDO,FL,32801,
