opeid	name	year	imputed_recipients	imputed_pell_ind
455300	Itt Technical Institute	1980	369	1
732700	Itt Technical Institute	1980	876	1
732900	Itt Technical Inst-Indianapolis	1980	1252	1
832900	Itt Technical Institute	1980	607	1
844300	Itt Technical Institute	1980	224	1
908800	Itt Technical Institute	1980	358	1
1062700	Itt Technical Institute	1980	612	1
1185200	Itt Technical Institute	1980	305	1
2291500	Itt Technical Institute	1980	336	1
2291600	Itt Technical Institute	1980	223	1
2321700	Itt Technical Institute	1980	395	1
2321800	Itt Technical Institute	1980	313	1
2321900	Itt Technical Institute	1980	161	1
2328600	Itt Technical Institute	1980	276	1
2328700	Itt Technical Institute	1980	0	1
2359800	Itt Technical Institute	1980	592	1
2361000	Itt Technical Institute	1980	371	1
2361100	Itt Technical Institute	1980	288	1
455300	Itt Technical Institute	1981	356	1
732700	Itt Technical Institute	1981	844	1
732900	Itt Technical Inst-Indianapolis	1981	1207	1
832900	Itt Technical Institute	1981	585	1
844300	Itt Technical Institute	1981	216	1
908800	Itt Technical Institute	1981	345	1
1062700	Itt Technical Institute	1981	590	1
1185200	Itt Technical Institute	1981	294	1
2291500	Itt Technical Institute	1981	324	1
2291600	Itt Technical Institute	1981	215	1
2321700	Itt Technical Institute	1981	381	1
2321800	Itt Technical Institute	1981	302	1
2321900	Itt Technical Institute	1981	155	1
2328600	Itt Technical Institute	1981	266	1
2328700	Itt Technical Institute	1981	0	1
2359800	Itt Technical Institute	1981	571	1
2361000	Itt Technical Institute	1981	358	1
2361100	Itt Technical Institute	1981	278	1
455300	Itt Technical Institute	1982	384	1
732700	Itt Technical Institute	1982	911	1
732900	Itt Technical Inst-Indianapolis	1982	1302	1
832900	Itt Technical Institute	1982	631	1
844300	Itt Technical Institute	1982	233	1
908800	Itt Technical Institute	1982	372	1
1062700	Itt Technical Institute	1982	637	1
1185200	Itt Technical Institute	1982	318	1
2291500	Itt Technical Institute	1982	350	1
2291600	Itt Technical Institute	1982	232	1
2321700	Itt Technical Institute	1982	411	1
2321800	Itt Technical Institute	1982	326	1
2321900	Itt Technical Institute	1982	168	1
2328600	Itt Technical Institute	1982	287	1
2328700	Itt Technical Institute	1982	0	1
2359800	Itt Technical Institute	1982	616	1
2361000	Itt Technical Institute	1982	386	1
2361100	Itt Technical Institute	1982	300	1
455300	Itt Technical Institute	1983	459	1
732700	Itt Technical Institute	1983	1087	1
732900	Itt Technical Inst-Indianapolis	1983	1555	1
832900	Itt Technical Institute	1983	754	1
844300	Itt Technical Institute	1983	279	1
908800	Itt Technical Institute	1983	444	1
1062700	Itt Technical Institute	1983	760	1
1185200	Itt Technical Institute	1983	379	1
2291500	Itt Technical Institute	1983	418	1
2291600	Itt Technical Institute	1983	277	1
2321700	Itt Technical Institute	1983	491	1
2321800	Itt Technical Institute	1983	389	1
2321900	Itt Technical Institute	1983	200	1
2328600	Itt Technical Institute	1983	343	1
2328700	Itt Technical Institute	1983	0	1
2359800	Itt Technical Institute	1983	735	1
2361000	Itt Technical Institute	1983	461	1
