opeid	year	name	imputed_recipients	imputed_pell_ind	drate	imputed_nbr	imputed_nbd	imputed_nbr_ind	imputed_nbd_ind
101700	2000	Gadsden State Community	1684	1					
101700	2001	Gadsden State Community	1720	1					
101700	2002	Gadsden State Community	2104	1					
101700	2003	Gadsden State Community	2556	1					
101700	2004	Gadsden State Community	2115	1					
101700	2005	Gadsden State Community	2029	1					
101700	2006	Gadsden State Community	1918	1					
101700	2007	Gadsden State Community	1872	1					
101700	2008	Gadsden State Community	2174	1					
101700	2009	Gadsden State Community	2789	1					
101700	2010	Gadsden State Community	3945	1					
103000	1994	Bishop State Community College	1469	1					
103000	1995	Bishop State Community College	1303	1					
103000	1996	Bishop State Community College	1184	1					
103000	1997	Bishop State Community College	1040	1					
103000	1998	Bishop State Community College	1202	1					
103000	1999	Bishop State Community College	1363	1					
103000	2000	Bishop State Community College - Main Campus	1416	1					
103000	2001	Bishop State Community College - Main Campus	1659	1					
103000	2002	Bishop State Community College - Main Campus	1909	1					
103000	2003	Bishop State Community College - Main Campus	2065	1					
103000	2004	Bishop State Community College - Main Campus	2168	1					
103000	2005	Bishop State Community College - Main Campus	1805	1					
103000	2006	Bishop State Community College - Main Campus	1733	1					
103000	2007	Bishop State Community College - Main Campus	1108	1					
103000	2008	Bishop State Community College - Main Campus	583	1					
103000	2009	Bishop State Community College - Main Campus	937	1					
103000	2010	Bishop State Community College - Main Campus	1301	1					
103200	1995	Northwest Alabama Community College	330	1					
103200	1996	Northwest Alabama Community College	330	1					
103200	1997	Northwest Alabama Community College	330	1					
103200	1998	Northwest Alabama Community College	330	1					
103200	1999	Northwest Alabama Community College	330	1					
103200	2000	Northwest Alabama Community College	330	1					
103200	2001	Northwest Alabama Community College	330	1					
103200	2002	Northwest Alabama Community College	330	1					
103200	2003	Northwest Alabama Community College	330	1					
103200	2004	Northwest Alabama Community College	330	1					
103200	2005	Northwest Alabama Community College	330	1					
103200	2006	Northwest Alabama Community College	385	1					
103200	2007	Northwest Alabama Community College	348	1					
103200	2008	Northwest Alabama Community College	342	1					
103200	2009	Northwest Alabama Community College	390	1					
103200	2010	Northwest Alabama Community College	539	1					
103400	1994	Alabama Southern Community College	541	1					
103400	1995	Alabama Southern Community College	464	1					
103400	1996	Alabama Southern Community College	490	1					
103400	1997	Alabama Southern Community College	500	1					
103400	1998	Alabama Southern Community College	455	1					
103400	1999	Alabama Southern Community College	347	1					
103400	2000	Alabama Southern Community College	372	1					
103400	2001	Alabama Southern Community College	398	1					
103400	2002	Alabama Southern Community College	395	1					
103400	2003	Alabama Southern Community College	427	1					
103400	2004	Alabama Southern Community College	434	1					
103400	2005	Alabama Southern Community College	426	1					
103400	2006	Alabama Southern Community College	399	1					
103400	2007	Alabama Southern Community College	363	1					
103400	2008	Alabama Southern Community College	351	1					
103400	2009	Alabama Southern Community College	402	1					
103400	2010	Alabama Southern Community College	504	1					
104000	1995	Southern Union State Community Clg	1228	1					
104000	1996	Southern Union State Community Clg	1150	1					
104000	1997	Southern Union State Community Clg	1021	1					
104000	1998	Southern Union State Community Clg	945	1					
104000	1999	Southern Union State Community Clg	1077	1					
